score,text
8,자막  누가 했냐???? 일단 맞고 시작하자
1,제발 왜 외국 대작들은 꼭 박X훈씨가 번역하나요...영회관계자 여러분... 영어로 들으면 이해가는것도 자막보면 이해안갈만큼 심각하게 번역못하세요.. 번역한거 보시긴하나요? 팬카페 웬만한 회원들이 더잘하는 수준.
10,데드풀 번역자가 자막 만들었음 좋았을텐데ㅠㅠ
1,우리엄마 성함이 김순자야 야 진짜?우리 엄마는 박순자야 그만싸우고 친구하자ㅋ 그랭ㅋ
4,긴러닝타임이지만 개연성 부족 설명 부족....젤어이없는건 배트맨과 슈퍼맨이 화해하는 계기가 너무 어이가 없음
2,싸우는 것은 배트맨과 슈퍼맨이지만 패배자는 관객이다.
9,원더 우먼 캐스팅 신의 한 수다 정말
6,옷감은 분명히 최상급인데 모아서 옷을 만들어놓고보니 누더기가된것같은영화
1,지금도 영화 상영중입니다. 심각합니다. 수면유도제에 뒤죽박죽 전개에. 그나마 슈퍼맨과 배트맨의 공존만이 볼거리. 음향은 좋으나 영상은 좆아요. 지 여자는 어딧는지 3초만에 찾으면서 엄마는 어딧는질 몰라요.
8,1.DC식 취향저격 2.비전공자에겐 지루한 강의 3.액션과 OST는 명불허전 4.관람 전 맨오브스틸 필수 5.원더우먼 신의한수
5,"호날두, 메시를 데리고도 1회전 탈락"
8,아드님 친구입니다 ..네 망또보니 알겠어요 ㅋㅋㅋㅋ 누가 번역했니?  아랫분 말대로 일단 한대맞고 시작하자
8,연출은 괜찮은데.... 각본을 정말 누가썼는지 개연성 오지게 없네요ㅋㅋ 헛웃음만 나옴
1,한국에서 자막번역은 연줄들이 한다. 자기들끼리 돌려먹는게 한국 문화다. 미디작업도 그렇고. 쓰레x 같은것들끼리 자기들끼리만 돌려먹고 실력좋은 사람들은 그자리에 못서게 막는다. 이게 이영화로도 잘 보여진다
10,생각보다 밴 애플렉의 배트맨이 아주 멋지넹!!!
6,자 그럼 이제 시빌워를 기다려볼까? ^^
1,박지훈 ;; 초딩이 번역한줄
5,큰그림 쫓아가느라 허리 아주 부러지겠어... 맨오브스틸 같은 단독작 몇개는 더 만들고 나왔어야 할 영화가 아닌가 싶음
9,설정을 잘 모르는 사람들이 보기엔 난해할 수 있었던 영화. 하지만 중간 중간에 전율이 흐를만한 장면들 만으로도 충분히 영화값을 했다고본다. DC의 본격적인 마블과의 대결을 위한 디딤돌 역할을 잘해준 영화
8,싸운지 5분도안되서 동맹맺냐....
