score,text
2,부산행 반도 못따라감 그래서 반도임
6,재미있게 잘 봤습니다. 다만 조금 질질 끄는 게 아쉬웠어요. 전형적인 약간의 억지 감동은 빼주셨으면
1,진짜 재미없음 다른말필요없음
4,영상미는 좋은데 스토리가....흥미가 안생겨요배우님들 고생 많았습니다
8,미안하지만 jane 명찰보고 빵터짐
1,실망대망.  교과서적 연출로도 평타 이상은 가능할 좀비소재를 이렇게까지...
2,한창 때리고 부수고 싸우는 거 좋아하는 10세 남아 머리에서 나올법한  수준 낮은 각본과 연출. 대신 추진력 하나는 인정. 이런 지지고 볶는 짜파게티같은 각본을 완결짓고 영화판에 내다니..그 점은 대단! 애기들도 연...
5,분노의 질주를 본것 같았다...감동을 억지로 씬에 담으려는거 같았고현실성 없는 내용들이 많이 깔려있어서보는내내 이질감이 느껴져 2점 드렸습니다.
6,"기아 모하비 홍보영상을 보고나온 느낌이 제일 강하게 들었고,차량 액션신은 대부분 cg인데 이질감이 느껴짐좀비 연출은 죄다 때거지로 덤비는 연출 아쉬움그냥 볼만한 수준의 영화이 영화보다 부산행 한 번 더 보는걸 추천드..."
2,부산행의 반도 못하다 해서 반도. . 인가..
10,강동원 이정현은 아묻따였는데 악역으로 나온 구교환 너무 좋아ㅠ
1,기대안하고 봐서 그런지 재미없었음 ^^ 기대하고 봤으면 더 재미없었을듯
2,이것은 좀비영화인가 레이싱영화인가 신파는 왜이리 많은것인가
6,추천은 안함 근데 강동원 잘생김강동원 총 잘쏨 근데 강동원 잘생김 여자애 운전 개쩜 근데 강동원 잘생김
4,이거 볼 돈으로 국밥 특대 사드세여 ㅎㅎ
1,"엔딩크레딧 올라올때""와 진짜 이건 아닌데""라는 생각이듬"
1,하.... 좀비물이 아니라 자동차 액션 보는 거같았어요 초반에는 볼만하다가 점점 지루해지고 결말이 어느정도 예측이되고 개연성도 부족한거같고 부산행급 까진 아니더라도 어느정도 기대하고 봤는데 너무 실망입니다
1,부산행생각하고보시면안돼요시간가는줄알고봤습니다
2,영화보다가 나올뻔하긴 되게 오랜만이네요ㅋ 공포도 스릴도 감동도 없는 전형적인 한국형 신파극
1,말하지 않겠다...최악이다 억지로 런타임 맞추려하는게 너무 봄
2,부산행과 장르가 완전히 바뀌었어요 왜갑자기 트랜스포머가된거죠....?
