index,score,text
1,10,어린 승이 연기한 배우 너무 귀엽더라  가족들과 보기에 딱 좋은 힐링무비
2,10,코로나 시대에 힐링이 필요했다 사랑과 책임감으로 연결되는 세 사람 추석에 힐링 감동 가족들이랑 함께하세유  담보맛 아는 맛이지만 눈물 웃음
3,9,담보 역할 맡은 소이님과 성동일님 연기 너무 쎄게 하셔서들 혼자 가서 질질 짰네요 너무 감동적이예요
4,10,오랜만에 가족들 같이 보기 좋은 영화네요 담보 너무 귀엽
5,9,간만에 재밌게 봤어요 억즙이라면 억즙일수도 있지만 9점 줘도 안아까워요
6,10,가족끼리 보기 좋은 감동영화네요뭉클하고 자극적이지않아 만족했어용
7,8,전체적인 스토리가 감동적이고 배우들의 연기가  좋았습니다특히 아역배우 너무 귀엽고 예쁘네요
8,10,담보야 담보야 으으으 담보아야
10,5,스토리가 연기력을 못 따라감
11,4,예상가능한 평이한 스토리여서 부담없이 볼수있었어요 감동코드가 있긴한데 좀 무리하지 않았나 싶네요 김희원이라는 너무 훌륭한 배우를 극 중에서 1/10도 활용하지 않은 것 같아 연출부분은 많이 아쉬워요
12,6,성동일의 연기가 참 대단했습니다 그리고 음
13,10,하지원이 왜 5년만에 이 영화를 선택했는지 알 것 같다
14,10,꼭 낳았다고 가족인가요 함께 살면 가족이죠 
15,8,스토리가 탄탄하지는 않은거 같아요 억지로 감동적인부분을 많이 끼어넣은느낌 그래도 저도 인간인지라 휴머니즘 불러일으키는 장면에서는 어쩔수 없이 눈물
16,10,너무 감동적 이에요 
17,10,정이 이렇게 무서운겁니다
18,10,와 이런 영화 얼마만이냐
19,10,성동일 김희원 두분 캐미도 좋았고 하지원씨의 연기도 넘 좋았네요 가족들이랑 보기 딱 좋을 것 같아요
20,10, 나진짜 엄청 울었다;;
21,10,아역 너무 귀엽
22,10,오랜만에 따뜻한 힐링 영화
23,10,보고싶었던 영화인데 드디어 봤어요 진짜 생각보다 더 좋고 마음에 드는 영화에요
24,6,스토리는 새로울게 없었지만 배우들이 워낙 연기를 잘해서 감정선이 느껴져서 좋았어요 다만 하지원씨는 좀 부자연스런 느낌이 명절가족영화로써 무난했어요
25,10,마지막 장면 너무 슬프고 인상적이었습니다아빠 그 한마디
26,10,연기 대박쓰 중간 중간에 따뜻하면서도 슬퍼서 울컥 울컥 어제 개봉하자마자 봤는에 오늘 또 보러 가려고요 성동일과 박소이 연기가 대박였음
27,10,추석에 따듯하게 보기 너무 좋은 영화
28,10,점점 갈 수록 감정선 깊숙히 찔러서 엉엉 울면서 영화 봤네요  진짜 스토리도 연기도 짱이었습니다 간만에 구도 각도 말고 스토리 보면서 영화 봤네요
29,10,진짜 너무 재밌게봤어요 배우님들 연기도 최곱니다
30,10,펑펑 울다가 나왔어요  추석영화로 최고
31,10,따뜻하고 사랑스러운 영화 :D
32,10,감히말하지만 7번방 보다 더뛰어났다내가봤던 현장 분위기는 휴지가지러 근처분들이 다리 많이들었을듯
33,10,웃고울리고 가족과 보기 좋은 영화 성동일 김희원 케미 좋습니다
