score,text
10,소이가 보물입니다... 엄청 울고 나왔어요 ㅠㅠ
10,어린 승이 연기한 배우 너무 귀엽더라 ㅎㅎ 가족들과 보기에 딱 좋은 힐링무비~~
10,"코로나 시대에 힐링이 필요했다,,, 사랑과 책임감으로 연결되는 세 사람. 추석에 힐링, 감동! 가족들이랑 함께하세유,,, ㅜ 담보맛! 아는 맛이지만 눈물 웃음!"
9,"담보 역할 맡은 소이님과 성동일님 연기 너무 쎄게 하셔서들 혼자 가서 질질 짰네요ㅠㅠ,, 너무 감동적이예요"
10,오랜만에 가족들 같이 보기 좋은 영화네요. 담보 너무 귀엽!!
9,간만에 재밋게 봣어요 억즙이라면 억즙일수도 있지만 9점 줘도 안아까워요.
10,가족끼리 보기 좋은 감동영화네요뭉클하고 자극적이지않아 만족했어용
8,전체적인 스토리가 감동적이고 배우들의 연기가  좋았습니다특히 아역배우 너무 귀엽고 예쁘네요
10,담보야 담보야 ㅇ으으으 담보아야~~~
10,
5,스토리가 연기력을 못 따라감
4,예상가능한 평이한 스토리여서 부담없이 볼수있었어요. 감동코드가 있긴한데 좀 무리하지 않았나 싶네요. 김희원이라는 너무 훌륭한 배우를 극 중에서 1/10도 활용하지 않은 것 같아 연출부분은 많이 아쉬워요.
6,성동일의 연기가 참 대단했습니다 그리고 음....
10,하지원이 왜 5년만에 이 영화를 선택했는지 알 것 같다
10,꼭 낳았다고 가족인가요~ 함께 살면 가족이죠 ^^
8,스토리가 탄탄하지는 않은거 같아요 억지로 감동적인부분을 많이 끼어넣은느낌 그래도 저도 인간인지라 휴머니즘 불러일으키는 장면에서는 어쩔수 없이 눈물ㅠ
10,너무 감동적 이에요 ㅠㅠ
10,정이 이렇게 무서운겁니다ㅠㅠ
10,와 ..이런 영화 얼마만이냐..
10,"성동일, 김희원 두분 캐미도 좋았고 하지원씨의 연기도 넘 좋았네요. 가족들이랑 보기 딱 좋을 것 같아요"
10,ㅠㅠ 나진짜 엄청 울었다;;
10,아역 너무 귀엽ㅠㅠㅠ
10,오랜만에 따뜻한 힐링 영화
10,보고싶었던 영화인데 드디어 봤어요! 진짜 생각보다 더 좋고 마음에 드는 영화에요
6,스토리는 새로울게 없었지만 배우들이 워낙 연기를 잘해서 감정선이 느껴져서 좋았어요 다만 하지원씨는 좀 부자연스런 느낌이... 명절가족영화로써 무난했어요
10,마지막 장면 너무 슬프고 인상적이었습니다아빠.. 그 한마디..
10,연기 대박쓰..! 중간 중간에 따뜻하면서도 슬퍼서 울컥 울컥.. 어제 개봉하자마자 봤는에 오늘 또 보러 가려고요ㅠㅠ!!! 성동일과 박소이 연기가 대박였음~~~
