score,text
6,"원작을 뛰어넘는 작품은 없다지만 굳이 끼워넣은 인위적인 설정과 무미건조한 주인공의 표정, 고증없이 나열된 영화 속 동양의 세계에 실망스러웠습니다.  심지어 영화를 관통하는 큰 가치가 악역 보리 칸에게도 존재해 이 사..."
4,킬링타임용 영상미는 좋으나 스토리등 유치하고 별로 원작보다노잼임
1,이걸 한번 볼바엔 반도를 10번 보겠습니다
1,일단... 디지스타일의 애니메이션은 노래와 시대적 센스를 반영해서 재구성한 작품으로 호불호가 갈림에도 역시 디즈니!! 답다라는 평을 주는데... 이건.. 그냥 진지한 중국 무협영화를 영어로 보는 느낌? 스토리야 디즈...
6,별 로 재 미 없 습 니 다 ; ; ;
1,"유역비가 홍콩 진압하는 경창들 응원하는 포스트햇던데 그 사람이 나오는영화 보는놈들은 중국지지하냐? 그리고, 디즈니는 스타워즈에 되도않는 PC를 쳐넣드만 중국에 휘말려서 뭔 홍콩, 대만 무시하는 배우를 넣지 않나, 인..."
1,10점 뭐냐? 댓글 알바임? 디즈니한테 실망함. (출연진은 제대로 뽑자.)
3,"애니메이션 ‘뮬란’ 실사화라고 하기에는 연출, 등장인물, 전개 모두 아쉬움.특히 마지막 검에 각인된 글자가 ‘효’...라는게..도대체 이 영화가 무엇을 보여주고 싶었는지 도저히 모르겠음.디즈니의 강점이자 특징인 등장..."
2,기대는 안했지만 더 기대이하였어요 7세이상 관람으로 해도 될 것같아요
1,음..디즈니..정말 실망입니다.
2,음.... 알라딘은 예술성이 돋보였지만 뮬란은 ost도 없도 그냥 애니 줄거리만을 따라가기만 한 느낌 이에요... 감동도 예술성도 돋보이지 않고 밋밋해 실망스럽습니다
1,디즈니..넘 실망....어떻게 그럴수있니
1,내 어린시절 뮬란을 이렇게 망치지마
1,중국이 싫다고 1점 주지는 맙시다. 저는 이 영화가 싫어서 1점 줍니다.
1,영화에 짜장이 묻으면 이 꼴 나는구나 ㅋ
1,돈으로 헐리우드를 샀지만 관객마음은 못사지
2,기대도 안했는데 기대이하였음 디즈니에 개실망
2,개봉하기전에 이미 봤다...ㅋㅋㅋㅋ견자단하고 이연걸 아깝다... 여기 왜 출연했어..
4,이번만큼은 동의 합니다. 찌꺼기라는 평론가의 평점을..
4,이번 영화는 그저 유역비를 보고싶어하는 이들을 위한 팬심 영화인듯 이거 보지 마시고 예고편이 더 재밌어요
1,21세기 희대의 망작. 디즈니 주주로써 화가 치밀어 오른다
1,중국물 찜찜함에도 팬심으로 봤다가 원작파괴에 재미까지 없어버리니 홍콩에 대한 미안한 감정만 남았다
1,- 한줄평 -짱깨가 짱개한 영화
1,미국영화계가 중국자본으로 춤을 추니 모든 영화가 중국스럽구나. 짜증난다.디즈니는 디즈니 답게.
1,FREE HONGKONG
1,진짜 올해 최악의 영화. 전 배우들의 발연기에 개연성 없는 스토리가 산으로 가고 전개가 매우 빠르며 뜬금없는 개과천선 모든 면에서 최악이다. 액션? 특유의 그 중국식 수도사들이 쓰는 액션들이라 퇴보됨. 이거 볼 시간...
1,디즈니는 왜 명작 애니메이션들을 실사로 망치는가. 21세기 디즈니의 퇴화를 보여주는 작품이 될듯.
